Team,Shutout Percentage,Scoring Offense,Shots Per Game,Goals Against Average,Points Per Game,Save Percentage,Win-Loss-Tied Percentage,Assists Per Game,Fouls Per Game,Yellow Cards,Penalty Kicks,Red Cards,Corner Kicks Per Game,Shot Accuracy,Saves per Game,Shots on Goal Per Game,Total Assists,Total Goals,Total Points
A&M-Corpus Christi,.286,1.71,14.86,1.286,4.71,.743,.429,1.29,10.71,8,1.000,,7.43,.452,3.71,6.71,9,12,33
Abilene Christian,.429,.57,12.29,.857,1.71,.870,.429,.57,8.00,3,1.000,,3.71,.395,5.71,4.86,4,4,12
Air Force,.400,1.00,14.80,1.600,2.60,.733,.300,.60,7.20,2,.000,,4.00,.459,4.40,6.80,3,5,13
Akron,.600,1.60,10.20,1.200,4.80,.778,.700,1.60,6.20,1,1.000,,2.20,.490,4.20,5.00,8,8,24
Alabama,.333,2.67,21.50,1.333,8.17,.500,.833,2.83,8.67,7,1.000,,5.50,.403,1.33,8.67,17,16,49
Alabama A&M,.143,.14,7.43,2.000,.29,.785,.143,,8.57,3,.000,,2.57,.462,7.29,3.43,,1,2
Alabama St.,.000,.50,7.33,3.333,1.33,.661,.083,.33,5.67,3,.000,,3.00,.455,6.50,3.33,2,3,8
Alcorn,.000,2.00,9.25,2.500,5.00,.524,.375,1.00,5.50,4,.000,1,3.50,.568,2.75,5.25,4,8,20
American,.000,.67,10.17,1.833,2.17,.718,.083,.83,8.83,6,.000,,3.83,.410,4.67,4.17,5,4,13
App State,.333,1.00,9.00,1.333,2.50,.771,.500,.50,7.33,9,1.000,,3.00,.407,4.50,3.67,3,6,15
Arizona,.500,1.83,11.33,1.500,5.50,.727,.667,1.83,6.33,1,.500,,4.50,.471,4.00,5.33,11,11,33
Arizona St.,.667,2.17,14.50,.333,6.83,.917,.917,2.50,7.83,,1.000,,8.33,.540,3.67,7.83,15,13,41
Ark.-Pine Bluff,.200,.80,6.00,4.000,2.60,.701,.300,1.00,6.00,4,.000,,1.60,.400,9.40,2.40,5,4,13
Arkansas,.400,1.40,16.20,1.400,3.40,.800,.500,.60,14.40,7,1.000,,6.40,.407,5.60,6.60,3,7,17
Arkansas St.,.000,1.75,11.25,1.750,5.75,.750,.500,2.25,7.25,4,1.000,,3.75,.489,5.25,5.50,9,7,23
Army West Point,.000,2.17,14.00,1.333,6.33,.765,.750,2.00,9.33,4,.000,1,5.00,.488,4.33,6.83,12,13,38
Auburn,.667,1.83,18.00,.500,5.67,.750,.583,2.00,6.33,7,1.000,,6.33,.398,1.50,7.17,12,11,34
Austin Peay,.167,,7.67,2.333,,.731,.083,,11.50,5,.000,,2.00,.413,6.33,3.17,,,
BYU,.400,1.60,18.00,.800,3.80,.765,.700,.60,7.40,3,.500,1,6.60,.389,2.60,7.00,3,8,19
Ball St.,.500,1.75,10.00,1.500,4.75,.727,.500,1.25,10.00,1,.000,,4.50,.550,4.00,5.50,5,7,19
Baylor,.800,1.20,17.20,.200,3.60,.933,.800,1.20,7.40,2,.000,,7.00,.360,2.80,6.20,6,6,18
Bellarmine,.400,3.60,17.20,.600,9.80,.903,.900,2.60,9.60,6,1.000,,6.00,.581,5.60,10.00,13,18,49
Belmont,.600,.60,8.40,.500,1.80,.875,.600,.60,7.80,3,.000,,3.40,.524,2.80,4.40,3,3,9
Binghamton,.167,1.67,15.50,1.000,4.67,.793,.750,1.33,9.17,5,.000,,4.50,.441,3.83,6.83,8,10,28
Boise St.,.000,1.17,12.67,1.500,3.83,.690,.500,1.50,11.83,10,.500,,5.00,.408,3.33,5.17,9,7,23
Boston College,.500,2.33,18.33,.500,7.17,.864,.667,2.50,8.50,2,1.000,,9.00,.491,3.17,9.00,15,14,43
Boston U.,.200,1.80,13.00,1.600,5.20,.652,.600,1.60,7.20,1,.000,,4.20,.415,3.00,5.40,8,9,26
Bowling Green,.333,1.50,9.17,.667,4.50,.846,.750,1.50,10.67,5,.000,,5.00,.455,3.67,4.17,9,9,27
Brown,.600,1.80,19.80,.800,4.80,.692,.800,1.20,9.80,3,.000,,7.60,.475,1.80,9.40,6,9,24
Bryant,.400,.60,9.80,1.000,1.60,.828,.400,.40,6.80,1,.000,,1.80,.388,4.80,3.80,2,3,8
Bucknell,.000,1.83,15.00,1.833,5.17,.633,.333,1.50,9.67,2,.000,,3.83,.478,3.17,7.17,9,11,31
Buffalo,.600,1.60,13.80,.600,4.60,.880,.700,1.40,7.20,3,.000,,6.20,.507,4.40,7.00,7,8,23
Butler,.250,2.00,15.25,.750,7.50,.750,.625,3.50,6.50,5,.000,,6.00,.492,2.25,7.50,14,8,30
CSU Bakersfield,.000,1.71,14.71,1.143,4.57,.778,.429,1.14,9.86,8,.000,,7.00,.427,4.00,6.29,8,12,32
CSUN,.286,1.29,13.71,1.286,3.71,.743,.357,1.14,10.29,11,.500,,3.86,.469,3.71,6.43,8,9,26
Cal Poly,.286,1.86,16.43,1.429,5.43,.767,.643,1.71,9.29,8,.000,,4.29,.435,4.71,7.14,12,13,38
Cal St. Fullerton,.750,1.00,7.75,.250,2.50,.929,.875,.50,10.25,6,1.000,,5.00,.484,3.25,3.75,2,4,10
California,.286,1.29,14.86,1.000,3.71,.806,.643,1.14,7.86,2,1.000,,4.00,.462,4.14,6.86,8,9,26
California Baptist,.333,.67,6.67,1.500,2.00,.786,.417,.67,9.83,4,.000,,2.67,.450,5.50,3.00,4,4,12
Campbell,.333,1.17,10.67,1.500,4.00,.719,.500,1.67,7.17,4,.000,,5.33,.438,3.83,4.67,10,7,24
Canisius,.000,,9.75,2.500,,.688,.000,,9.50,1,.000,,1.00,.513,5.50,5.00,,,
Central Ark.,.333,2.33,14.17,1.167,7.17,.837,.500,2.50,9.17,9,.000,1,5.17,.553,6.00,7.83,15,14,43
Central Conn. St.,.000,.50,4.25,1.500,1.25,.760,.125,.25,7.75,,.000,,2.25,.588,4.75,2.50,1,2,5
Central Mich.,.000,,5.75,2.250,,.769,.000,,10.00,1,.000,,2.25,.609,7.50,3.50,,,
Charleston So.,.250,.25,6.50,2.000,.50,.704,.250,,8.50,4,.000,,1.75,.423,4.75,2.75,,1,2
Charlotte,.167,1.17,10.50,1.333,3.50,.771,.500,1.17,8.67,9,1.000,,3.33,.444,4.50,4.67,7,7,21
Chattanooga,.500,2.33,15.50,1.000,6.67,.760,.750,2.00,11.67,2,.000,,4.83,.376,3.17,5.83,12,14,40
Chicago St.,.333,1.17,7.67,2.000,3.00,.760,.500,.67,9.67,5,1.000,,2.50,.457,6.33,3.50,4,7,18
Cincinnati,.429,1.14,12.00,1.286,3.43,.727,.500,1.14,12.14,6,1.000,,4.29,.464,3.43,5.57,8,8,24
Clemson,.667,1.17,11.83,.833,3.67,.783,.667,1.33,7.17,7,.000,,4.67,.366,3.00,4.33,8,7,22
Cleveland St.,.200,1.00,13.40,1.600,2.40,.789,.300,.40,7.60,1,.000,,4.20,.403,6.00,5.40,2,5,12
